Country,Year,CO2_in_t_unaltered,CO2_in_t
World,1750,9350528,9.35
World,1751,9350528,9.35
World,1752,9354192,9.35
World,1753,9354192,9.35
World,1754,9357856,9.36
World,1755,9361520,9.36
World,1756,10006384,10.01
World,1757,10010048,10.01
World,1758,10013712,10.01
World,1759,10017376,10.02
World,1760,10017376,10.02
World,1761,10973680,10.97
World,1762,10977344,10.98
World,1763,10981008,10.98
World,1764,10984672,10.98
World,1765,10988336,10.99
World,1766,12259744,12.26
World,1767,12263408,12.26
World,1768,12267072,12.27
World,1769,12270736,12.27
World,1770,12274400,12.27
World,1771,13611760,13.61
World,1772,13615424,13.62
World,1773,13619088,13.62
World,1774,13622752,13.62
World,1775,13626416,13.63
World,1776,15037056,15.04
World,1777,15040720,15.04
World,1778,15044384,15.04
World,1779,15048048,15.05
World,1780,15055376,15.06
World,1781,16843408,16.84
World,1782,16847072,16.85
World,1783,16854400,16.85
World,1784,16858064,16.86
World,1785,16869056,16.87
World,1786,19151728,19.15
World,1787,19159056,19.16
World,1788,19162720,19.16
World,1789,19170048,19.17
World,1790,19177376,19.18
World,1791,21419744,21.42
World,1792,21896064,21.90
World,1793,21914384,21.91
World,1794,21881408,21.88
World,1795,21892400,21.89
World,1796,22951296,22.95
World,1797,24094464,24.09
World,1798,25094736,25.09
World,1799,26428432,26.43
World,1800,28091888,28.09
World,1801,27959984,27.96
World,1802,36782896,36.78
World,1803,31488416,31.49
World,1804,34309696,34.31
World,1805,33419344,33.42
World,1806,35046160,35.05
World,1807,36874496,36.87
World,1808,35064480,35.06
World,1809,35090128,35.09
World,1810,37380128,37.38
World,1811,39582192,39.58
World,1812,41007488,41.01
World,1813,41220000,41.22
World,1814,42128672,42.13
World,1815,43488016,43.49
World,1816,47664976,47.66
World,1817,49431024,49.43
World,1818,49643536,49.64
World,1819,49947648,49.95
World,1820,50687776,50.69
World,1821,51435232,51.44
World,1822,53465088,53.47
World,1823,56550176,56.55
World,1824,58525072,58.53
World,1825,60756448,60.76
World,1826,61419632,61.42
World,1827,65915360,65.92
World,1828,66637168,66.64
World,1829,66395344,66.40
World,1830,89123136,89.12
World,1831,84528480,84.53
World,1832,85111056,85.11
World,1833,86807488,86.81
World,1834,88485600,88.49
World,1835,90445840,90.45
World,1836,104775744,104.78
World,1837,104691472,104.69
World,1838,108044032,108.04
World,1839,111612768,111.61
World,1840,118929776,118.93
World,1841,122619424,122.62
World,1842,129504080,129.50
World,1843,132852976,132.85
World,1844,141423072,141.42
World,1845,155210704,155.21
World,1846,157793824,157.79
World,1847,172402192,172.40
World,1848,173816496,173.82
World,1849,183511440,183.51
World,1850,196896032,196.90
World,1851,198804976,198.80
World,1852,207550944,207.55
World,1853,217209248,217.21
World,1854,255138976,255.14
World,1855,260165984,260.17
World,1856,277291520,277.29
World,1857,279889296,279.89
World,1858,284171850,284.17
World,1859,301312559,301.31
World,1860,330642191,330.64
World,1861,347735242,347.74
World,1862,354057462,354.06
World,1863,377859938,377.86
World,1864,407091108,407.09
World,1865,432307789,432.31
World,1866,445970599,445.97
World,1867,477814912,477.81
World,1868,490752496,490.75
